bucket_number,bucket_name,mse_range,avg_mse,avg_confidence_pct,num_examples,gt_f1,gt_confidence,llm_f1,llm_confidence
1,Bucket 1,0.200-0.250,0.22217869715678468,53.01171621661977,292,79.29721815519765,97.45148788066636,67.77402221149204,96.61048331031216
2,Bucket 2,0.150-0.200,0.17335104823981518,58.90104746587442,462,81.67880413951704,95.84679850810252,69.00983351182943,97.26368254769294
3,Bucket 3,0.100-0.150,0.12093704075751831,67.58429958425218,500,83.74585850711361,97.95590075607626,69.80331662167374,97.0092967916683
4,Bucket 4,0.050-0.100,0.07325709081730784,75.72673854569496,500,82.87697647512533,97.56072290949153,68.57477776692392,95.89258514622186
5,Bucket 5,0.000-0.050,0.016792008382690914,86.27817026286755,500,83.00803673938002,97.67699044481718,69.83881864684876,96.06146097835409
