bucket_number,bucket_name,mse_range,avg_mse,avg_confidence_pct,num_examples,gt_f1,gt_confidence,llm_f1,llm_confidence
1,Bucket 1,0.200-0.249,0.22264124857630216,52.95494685511617,150,78.38978890525283,96.7970946331055,69.54188611746,97.28173400851206
2,Bucket 2,0.150-0.199,0.17298241901639286,58.95327448844909,150,77.31422401099441,98.06204452315002,67.93885503047258,98.04987376895812
3,Bucket 3,0.100-0.150,0.12139645632542516,67.74420278478962,150,80.35766925420064,98.21458641797558,66.62019518024297,97.75426053682897
4,Bucket 4,0.050-0.100,0.07338225722786172,76.11610685021449,150,80.39835296370774,98.09960570358312,68.5334127693377,97.66528488020316
5,Bucket 5,0.000-0.049,0.01610759623625143,86.07187704342168,150,80.66298342541437,98.05281569229547,70.97400077609623,97.80452703323441
