no_labels,f1,gliner_f1,confidence,avg_entities
5,53.44114674262611,53.44%,93.51436703657427,2.6
10,54.10091564387298,54.11%,96.00013403358057,2.6
15,60.58228730822872,60.59%,97.24074297740536,2.933333333333333
20,58.48116752599842,58.49%,97.85243522640198,3.1
25,58.56125889846384,58.56%,96.57164262448273,3.08
50,59.02522215241002,59.03%,97.79229213036129,3.16
