Model,F1 Score,Precision,Recall
"GLiNER Base, threshold=0.1",46.126652320934525,39.106072452436806,56.219557886849
"GLiNER Base, threshold=0.5",46.601941747572816,54.93387589013224,40.46459348070439
"GLiNER Base, threshold=0.9",22.913674804531674,77.28740581270182,13.450730610715626
"GLiNER FT, threshold=0.1",78.38079013547497,69.12290742595508,90.50206069689023
"GLiNER FT, threshold=0.5",85.50804093567251,83.46414555833036,87.65455226676659
"GLiNER FT, threshold=0.9",85.80844901627883,91.89304812834224,80.47958036717871
LLM gemma3:12b,69.43851508120649,68.86966126656849,70.0168444693992
