no_worst_examples,gliner_ft_0gt_100llm_f1,gliner_ft_25gt_75llm_f1,gliner_ft_50gt_50llm_f1,gliner_ft_75gt_25llm_f1,gliner_ft_100gt_0llm_f1,confidence,avg_entities,avg_input_tokens,model_input_output,avg_output_tokens,completion_status,completion_percentage
10,60.989523908308264,64.09963674104824,64.09963674104824,64.09963674104824,58.96972915560277,95.01122684940934,1.4,0,"(65536, 60000)",0,complete,100.0
50,68.33200636942675,67.35681114551085,68.17905610694754,74.0867465029687,70.40857605177993,97.1715425487887,1.6,0,"(65536, 60000)",0,complete,100.0
100,70.58823529411764,72.49799839871896,76.66960870844366,72.3726977248104,78.31041257367389,97.16586649662865,1.56,0,"(65536, 60000)",0,complete,100.0
247,73.71450498848812,75.52341073467834,77.6721405934889,78.25583638819217,77.78323671022895,96.85598545245134,1.6923076923076923,0,"(65536, 60000)",0,complete,100.0
507,72.11548033847684,73.66984993178718,75.5700952564226,79.45740216648774,80.91325945739396,93.77515044578544,1.7495069033530573,0,"(65536, 60000)",0,complete,100.0
750,74.4267053701016,77.29468599033817,79.97739687323413,81.34080334251259,81.42376142376142,94.47631293504473,1.794392523364486,0,"(65536, 60000)",0,complete,100.0
971,74.37469586374695,74.79267116682739,81.52951273004673,83.09672534544765,84.68003820439351,95.1336066077496,1.8444902162718846,0,"(65536, 60000)",0,quota_exceeded,97.1
