no_worst_examples,gliner_ft_0gt_100llm_f1,gliner_ft_25gt_75llm_f1,gliner_ft_50gt_50llm_f1,gliner_ft_75gt_25llm_f1,gliner_ft_100gt_0llm_f1,confidence,avg_entities,avg_input_tokens,model_input_output,avg_output_tokens,completion_status,completion_percentage
2,45.538332635106826,45.21739130434782,45.21739130434782,45.21739130434782,45.21739130434782,88.94970357726388,1.0,500.0,"(65536, 500)",150.0,complete,100.0
5,56.342278262743825,56.342278262743825,56.342278262743825,52.45231607629427,52.45231607629427,91.72350770942008,1.0,500.0,"(65536, 500)",150.0,complete,100.0
8,62.28292682926829,62.90371879775852,55.67120935722717,63.526970954356855,60.13343541507163,92.90930323715523,1.375,500.0,"(65536, 500)",150.0,complete,100.0
