trial_number,value,state,learning_rate,others_lr,weight_decay,others_weight_decay,warmup_ratio,batch_size,lora_r,gradient_accumulation_steps
10,88.52701702442634,COMPLETE,0.00022105770821309302,5.8851860296580845e-06,0.08129586307822372,0.008521002768232644,0.15560507652730393,12,64,1
11,88.49360755975542,COMPLETE,0.00024530297852754434,5.039265112631159e-06,0.06645114991395112,0.0068028398066446415,0.1556662915935946,12,64,1
0,88.12776957163959,COMPLETE,0.00021417776814156627,8.541723426049457e-05,0.0001336386930064947,0.02032666618493401,0.1975875343801643,12,16,1
13,87.76978417266189,COMPLETE,8.465707255378737e-05,5.111258347273415e-06,0.08825730576176684,0.00246652565868587,0.14923123452864723,12,64,1
15,87.60865544664323,COMPLETE,9.621713356943621e-05,1.6859224470045788e-05,0.02355734930869154,0.001580345105508065,0.1394443611086939,12,32,1
1,87.02791461412151,COMPLETE,0.00020166202300662064,5.151188644995077e-05,1.3552992620038934e-05,1.744619867603423e-05,0.1481297656554279,4,8,2
18,86.95892429545036,COMPLETE,8.707109140067885e-05,2.8618045158374174e-05,0.012061604609235768,0.0007505232096463793,0.1705611878322733,8,32,1
9,86.26649321687418,COMPLETE,3.909452209873047e-05,6.566110034145668e-05,0.0003123837988472954,0.00013849448243414707,0.0866816805548079,16,16,4
8,85.26901669758813,COMPLETE,2.0259463976104302e-05,0.00010888954770166959,0.005825214681897735,0.000230913580719631,0.09868392801808273,12,16,1
3,83.9679358717435,COMPLETE,4.281553653722352e-05,0.0001440298745645327,0.0027583714493591353,5.393191366817478e-05,0.18042900104722365,2,16,2
7,83.39164058184497,COMPLETE,1.6033554993546383e-05,0.0005061076593433599,2.155664414306808e-05,0.06302357065685542,0.11381823660977507,4,16,1
19,83.22305809843199,COMPLETE,0.0007288116167315999,8.918985944216056e-06,0.04477906082341729,0.028912118055347425,0.1276476826314911,2,8,4
6,81.69692478695812,COMPLETE,8.900256461078761e-06,0.0012171960879055613,1.3815965877622262e-05,5.3705068957641465e-05,0.08422301683835859,8,16,1
2,0.0,COMPLETE,0.0017120470182103624,0.0001269465441426441,7.633369685652029e-05,0.0003115087182244076,0.1915695235998039,16,16,4
5,0.0,COMPLETE,0.0011918320572084752,0.0004598242779188721,1.6837337604991944e-05,0.0003620263804756872,0.11455076007217141,12,16,2
4,0.0,COMPLETE,0.0014035194865346062,0.00015888618306438297,0.005273246705078746,0.09479242164726441,0.05967552757658669,2,16,2
14,0.0,COMPLETE,0.0005327325221708946,1.5608841399268716e-05,0.021683160670024727,0.012418064110843646,0.16931771745193505,8,64,1
12,0.0,COMPLETE,0.00042665773257017465,5.119986077665923e-06,0.09063120160483264,0.004066525207323121,0.15669884242575643,12,64,1
17,0.0,COMPLETE,0.0003337985405373681,0.004198455288617028,0.0008857467493695886,0.005550969007730974,0.1661556960765603,12,64,1
16,0.0,COMPLETE,0.004922523219928633,1.6251796426266212e-05,0.028350322510135254,0.010545399058686464,0.13102513398065935,12,64,4
